HDR,ROLLING SYSTEM DEMAND
VD,20190809000000,20847
VD,20190809000500,20914
VD,20190809001000,20969
VD,20190809001500,21049
VD,20190809002000,21025
VD,20190809002500,21016
VD,20190809003000,20939
VD,20190809003500,20819
VD,20190809004000,20650
VD,20190809004500,20663
VD,20190809005000,20809
VD,20190809005500,20896
VD,20190809010000,20970
VD,20190809010500,21019
VD,20190809011000,20971
VD,20190809011500,21075
VD,20190809012000,21060
VD,20190809012500,21074
VD,20190809013000,21077
VD,20190809013500,21155
VD,20190809014000,21173
VD,20190809014500,21179
VD,20190809015000,21090
VD,20190809015500,21064
VD,20190809020000,21001
VD,20190809020500,21115
VD,20190809021000,21187
VD,20190809021500,21200
VD,20190809022000,21159
VD,20190809022500,21120
VD,20190809023000,21034
VD,20190809023500,21017
VD,20190809024000,20998
VD,20190809024500,20984
VD,20190809025000,20990
VD,20190809025500,21052
VD,20190809030000,21026
VD,20190809030500,20849
VD,20190809031000,20974
VD,20190809031500,21046
VD,20190809032000,21084
VD,20190809032500,21174
VD,20190809033000,21219
VD,20190809033500,21278
VD,20190809034000,21348
VD,20190809034500,21369
VD,20190809035000,21395
VD,20190809035500,21416
VD,20190809040000,21471
VD,20190809040500,21586
VD,20190809041000,21737
VD,20190809041500,21804
VD,20190809042000,21815
VD,20190809042500,21848
VD,20190809043000,21893
VD,20190809043500,21999
VD,20190809044000,22075
VD,20190809044500,22031
VD,20190809045000,22120
VD,20190809045500,22194
VD,20190809050000,22174
VD,20190809050500,22524
VD,20190809051000,22893
VD,20190809051500,23301
VD,20190809052000,23496
VD,20190809052500,23646
VD,20190809053000,23809
VD,20190809053500,23913
VD,20190809054000,24127
VD,20190809054500,24431
VD,20190809055000,24719
VD,20190809055500,25040
VD,20190809060000,25498
VD,20190809060500,26132
VD,20190809061000,26554
VD,20190809061500,26833
VD,20190809062000,27036
VD,20190809062500,27237
VD,20190809063000,27392
VD,20190809063500,27608
VD,20190809064000,27828
VD,20190809064500,28016
VD,20190809065000,28179
VD,20190809065500,28432
VD,20190809070000,28444
VD,20190809070500,28684
VD,20190809071000,28669
VD,20190809071500,28757
VD,20190809072000,29025
VD,20190809072500,29277
VD,20190809073000,29364
VD,20190809073500,29362
VD,20190809074000,29447
VD,20190809074500,29536
VD,20190809075000,29459
VD,20190809075500,29528
VD,20190809080000,29574
VD,20190809080500,29708
VD,20190809081000,29928
VD,20190809081500,29854
VD,20190809082000,29816
VD,20190809082500,29717
VD,20190809083000,29606
VD,20190809083500,29606
VD,20190809084000,29596
VD,20190809084500,29487
VD,20190809085000,29323
VD,20190809085500,29197
VD,20190809090000,29048
VD,20190809090500,29052
VD,20190809091000,28998
VD,20190809091500,28800
VD,20190809092000,28748
VD,20190809092500,28838
VD,20190809093000,28866
VD,20190809093500,28993
VD,20190809094000,28904
VD,20190809094500,28685
VD,20190809095000,28691
VD,20190809095500,28588
VD,20190809100000,28438
VD,20190809100500,28489
VD,20190809101000,28361
VD,20190809101500,28244
VD,20190809102000,28164
VD,20190809102500,28170
VD,20190809103000,28071
VD,20190809103500,28048
VD,20190809104000,28066
VD,20190809104500,28073
VD,20190809105000,28105
VD,20190809105500,28099
VD,20190809110000,28033
VD,20190809110500,28168
VD,20190809111000,28203
VD,20190809111500,28184
VD,20190809112000,28160
VD,20190809112500,28145
VD,20190809113000,28112
VD,20190809113500,28086
VD,20190809114000,28014
VD,20190809114500,27968
VD,20190809115000,28009
VD,20190809115500,27973
VD,20190809120000,27880
VD,20190809120500,27675
VD,20190809121000,27428
VD,20190809121500,27384
VD,20190809122000,27370
VD,20190809122500,27382
VD,20190809123000,27282
VD,20190809123500,27378
VD,20190809124000,27377
VD,20190809124500,27262
VD,20190809125000,27365
VD,20190809125500,27433
VD,20190809130000,27478
VD,20190809130500,27504
VD,20190809131000,27571
VD,20190809131500,27608
VD,20190809132000,27281
VD,20190809132500,27165
VD,20190809133000,27161
VD,20190809133500,27138
VD,20190809134000,27244
VD,20190809134500,27429
VD,20190809135000,27510
VD,20190809135500,27444
VD,20190809140000,27559
VD,20190809140500,27666
VD,20190809141000,27682
VD,20190809141500,27735
VD,20190809142000,27785
VD,20190809142500,27863
VD,20190809143000,27935
VD,20190809143500,27941
VD,20190809144000,27957
VD,20190809144500,28110
VD,20190809145000,28267
VD,20190809145500,28374
VD,20190809150000,28287
VD,20190809150500,28298
VD,20190809151000,28419
VD,20190809151500,28580
VD,20190809152000,28582
VD,20190809152500,28560
VD,20190809153000,28561
VD,20190809153500,28707
VD,20190809154000,28739
VD,20190809154500,28862
VD,20190809155000,28995
VD,20190809155500,29068
VD,20190809160000,28621
VD,20190809160500,28468
VD,20190809161000,28231
VD,20190809161500,28230
VD,20190809162000,28684
VD,20190809162500,28952
VD,20190809163000,29248
VD,20190809163500,29507
VD,20190809164000,29503
VD,20190809164500,29451
VD,20190809165000,29493
VD,20190809165500,29439
VD,20190809170000,29398
VD,20190809170500,29257
VD,20190809171000,29157
VD,20190809171500,29163
VD,20190809172000,29184
VD,20190809172500,29199
VD,20190809173000,29090
VD,20190809173500,29077
VD,20190809174000,29044
VD,20190809174500,28990
VD,20190809175000,29199
VD,20190809175500,29266
VD,20190809180000,29165
VD,20190809180500,29251
VD,20190809181000,29261
VD,20190809181500,29200
VD,20190809182000,29133
VD,20190809182500,28994
VD,20190809183000,29010
VD,20190809183500,28915
VD,20190809184000,28800
VD,20190809184500,28783
VD,20190809185000,28717
VD,20190809185500,28591
VD,20190809190000,28335
VD,20190809190500,28300
VD,20190809191000,28307
VD,20190809191500,28228
VD,20190809192000,28179
VD,20190809192500,28094
VD,20190809193000,28056
VD,20190809193500,28213
VD,20190809194000,28247
VD,20190809194500,28169
VD,20190809195000,28411
VD,20190809195500,28504
VD,20190809200000,28517
VD,20190809200500,28614
VD,20190809201000,28777
VD,20190809201500,28588
VD,20190809202000,28315
VD,20190809202500,28217
VD,20190809203000,28113
VD,20190809203500,27984
VD,20190809204000,27838
VD,20190809204500,27729
VD,20190809205000,27662
VD,20190809205500,27550
VD,20190809210000,27373
VD,20190809210500,27142
VD,20190809211000,26925
VD,20190809211500,26673
VD,20190809212000,26479
VD,20190809212500,26197
VD,20190809213000,25962
VD,20190809213500,25660
VD,20190809214000,25299
VD,20190809214500,25018
VD,20190809215000,24829
VD,20190809215500,24597
VD,20190809220000,24341
VD,20190809220500,24029
VD,20190809221000,23821
VD,20190809221500,23545
VD,20190809222000,23318
VD,20190809222500,23131
VD,20190809223000,22904
VD,20190809223500,22753
VD,20190809224000,22496
VD,20190809224500,22252
VD,20190809225000,22063
VD,20190809225500,22024
VD,20190809230000,21640
VD,20190809230500,21357
VD,20190809231000,21303
VD,20190809231500,21282
VD,20190809232000,21175
VD,20190809232500,21030
VD,20190809233000,20756
VD,20190809233500,20624
VD,20190809234000,20480
VD,20190809234500,20533
VD,20190809235000,20544
VD,20190809235500,20491
FTR,288
