HDR,SYSTEM FREQUENCY DATA
FREQ,20190809000000,50.039
FREQ,20190809000015,50.036
FREQ,20190809000030,50.006
FREQ,20190809000045,49.988
FREQ,20190809000100,50.014
FREQ,20190809000115,50.006
FREQ,20190809000130,50.018
FREQ,20190809000145,50.007
FREQ,20190809000200,50.003
FREQ,20190809000215,50.021
FREQ,20190809000230,50.019
FREQ,20190809000245,50.008
FREQ,20190809000300,50.008
FREQ,20190809000315,50.027
FREQ,20190809000330,50.022
FREQ,20190809000345,50.047
FREQ,20190809000400,50.044
FREQ,20190809000415,50.051
FREQ,20190809000430,50.059
FREQ,20190809000445,50.079
FREQ,20190809000500,50.090
FREQ,20190809000515,50.089
FREQ,20190809000530,50.099
FREQ,20190809000545,50.107
FREQ,20190809000600,50.077
FREQ,20190809000615,50.102
FREQ,20190809000630,50.075
FREQ,20190809000645,50.093
FREQ,20190809000700,50.071
FREQ,20190809000715,50.098
FREQ,20190809000730,50.120
FREQ,20190809000745,50.123
FREQ,20190809000800,50.138
FREQ,20190809000815,50.138
FREQ,20190809000830,50.117
FREQ,20190809000845,50.116
FREQ,20190809000900,50.031
FREQ,20190809000915,50.027
FREQ,20190809000930,50.055
FREQ,20190809000945,50.075
FREQ,20190809001000,50.061
FREQ,20190809001015,50.061
FREQ,20190809001030,50.087
FREQ,20190809001045,50.080
FREQ,20190809001100,50.068
FREQ,20190809001115,50.081
FREQ,20190809001130,50.084
FREQ,20190809001145,50.073
FREQ,20190809001200,50.075
FREQ,20190809001215,50.070
FREQ,20190809001230,50.076
FREQ,20190809001245,50.082
FREQ,20190809001300,50.093
FREQ,20190809001315,50.081
FREQ,20190809001330,50.064
FREQ,20190809001345,50.079
FREQ,20190809001400,50.073
FREQ,20190809001415,50.072
FREQ,20190809001430,50.075
FREQ,20190809001445,50.083
FREQ,20190809001500,50.083
FREQ,20190809001515,50.088
FREQ,20190809001530,50.114
FREQ,20190809001545,50.105
FREQ,20190809001600,50.106
FREQ,20190809001615,50.127
FREQ,20190809001630,50.139
FREQ,20190809001645,50.119
FREQ,20190809001700,50.116
FREQ,20190809001715,50.104
FREQ,20190809001730,50.095
FREQ,20190809001745,50.117
FREQ,20190809001800,50.111
FREQ,20190809001815,50.099
FREQ,20190809001830,50.114
FREQ,20190809001845,50.111
FREQ,20190809001900,50.123
FREQ,20190809001915,50.110
FREQ,20190809001930,50.115
FREQ,20190809001945,50.122
FREQ,20190809002000,50.134
FREQ,20190809002015,50.148
FREQ,20190809002030,50.142
FREQ,20190809002045,50.130
FREQ,20190809002100,50.110
FREQ,20190809002115,50.113
FREQ,20190809002130,50.108
FREQ,20190809002145,50.085
FREQ,20190809002200,50.008
FREQ,20190809002215,50.007
FREQ,20190809002230,50.010
FREQ,20190809002245,50.005
FREQ,20190809002300,49.979
FREQ,20190809002315,49.998
FREQ,20190809002330,49.994
FREQ,20190809002345,50.011
FREQ,20190809002400,50.007
FREQ,20190809002415,49.993
FREQ,20190809002430,49.982
FREQ,20190809002445,49.986
FREQ,20190809002500,49.972
FREQ,20190809002515,49.965
FREQ,20190809002530,49.955
FREQ,20190809002545,49.954
FREQ,20190809002600,49.962
FREQ,20190809002615,49.965
FREQ,20190809002630,49.974
FREQ,20190809002645,49.979
FREQ,20190809002700,49.969
FREQ,20190809002715,49.961
FREQ,20190809002730,49.958
FREQ,20190809002745,49.950
FREQ,20190809002800,49.972
FREQ,20190809002815,49.979
FREQ,20190809002830,49.990
FREQ,20190809002845,49.978
FREQ,20190809002900,49.985
FREQ,20190809002915,49.977
FREQ,20190809002930,49.991
FREQ,20190809002945,49.961
FREQ,20190809003000,49.969
FREQ,20190809003015,49.926
FREQ,20190809003030,49.922
FREQ,20190809003045,49.910
FREQ,20190809003100,49.916
FREQ,20190809003115,49.926
FREQ,20190809003130,49.975
FREQ,20190809003145,50.035
FREQ,20190809003200,50.060
FREQ,20190809003215,50.045
FREQ,20190809003230,50.047
FREQ,20190809003245,50.044
FREQ,20190809003300,50.056
FREQ,20190809003315,50.047
FREQ,20190809003330,50.067
FREQ,20190809003345,50.047
FREQ,20190809003400,50.026
FREQ,20190809003415,50.053
FREQ,20190809003430,50.047
FREQ,20190809003445,50.076
FREQ,20190809003500,50.057
FREQ,20190809003515,50.051
FREQ,20190809003530,50.043
FREQ,20190809003545,50.048
FREQ,20190809003600,50.041
FREQ,20190809003615,50.028
FREQ,20190809003630,50.032
FREQ,20190809003645,50.024
FREQ,20190809003700,50.035
FREQ,20190809003715,50.041
FREQ,20190809003730,50.025
FREQ,20190809003745,50.023
FREQ,20190809003800,50.010
FREQ,20190809003815,50.013
FREQ,20190809003830,50.010
FREQ,20190809003845,50.017
FREQ,20190809003900,50.018
FREQ,20190809003915,50.058
FREQ,20190809003930,50.051
FREQ,20190809003945,50.060
FREQ,20190809004000,50.062
FREQ,20190809004015,50.062
FREQ,20190809004030,50.063
FREQ,20190809004045,50.069
FREQ,20190809004100,50.068
FREQ,20190809004115,50.077
FREQ,20190809004130,50.067
FREQ,20190809004145,50.063
FREQ,20190809004200,50.072
FREQ,20190809004215,50.071
FREQ,20190809004230,50.075
FREQ,20190809004245,50.075
FREQ,20190809004300,50.077
FREQ,20190809004315,50.058
FREQ,20190809004330,50.081
FREQ,20190809004345,50.076
FREQ,20190809004400,50.053
FREQ,20190809004415,50.072
FREQ,20190809004430,50.078
FREQ,20190809004445,50.069
FREQ,20190809004500,50.095
FREQ,20190809004515,50.095
FREQ,20190809004530,50.092
FREQ,20190809004545,50.080
